plataforma,timestamp,zona,direccion,local,producto,descripcion_producto,precio_producto,precio_producto_original,descuento_producto,precio_envio,precio_envio_promo,tiempo_entrega,rating,horario_apertura,horario_cierre,disponible,error
"Uber Eats","2026-05-12T19:30:16.810Z","Norte - Torreón","Blvd. Independencia 1300, Navarro, Torreón, Coahuila","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para 7 Eleven"
"Uber Eats","2026-05-12T19:31:12.155Z","Norte - Hermosillo","Blvd. Luis Encinas J. 172, Centro, Hermosillo, Sonora","unknown","Big Mac","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para McDonald's"
"Uber Eats","2026-05-12T19:31:45.120Z","Norte - Hermosillo","Blvd. Luis Encinas J. 172, Centro, Hermosillo, Sonora","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para Burger King"
"Uber Eats","2026-05-12T19:32:18.325Z","Norte - Hermosillo","Blvd. Luis Encinas J. 172, Centro, Hermosillo, Sonora","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para 7 Eleven"
"Uber Eats","2026-05-12T19:33:07.133Z","Oeste - Guadalajara","Av. Juárez 975, Americana, Guadalajara, Jalisco","unknown","Big Mac","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para McDonald's"
"Uber Eats","2026-05-12T19:33:40.278Z","Oeste - Guadalajara","Av. Juárez 975, Americana, Guadalajara, Jalisco","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para Burger King"
"Uber Eats","2026-05-12T19:34:13.452Z","Oeste - Guadalajara","Av. Juárez 975, Americana, Guadalajara, Jalisco","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para 7 Eleven"
"Uber Eats","2026-05-12T19:34:46.344Z","Oeste - Zapopan","Av. Patria 2085, Puerta de Hierro, Zapopan, Jalisco","McDonald's Plaza Patria","Big Mac","Dos carnes de res, con salsa especial de Big Mac, queso, lechuga, jitomate, cebolla y pepinillos.","100",,"unknown","0","Costo de envío: MXN0 (usuarios nuevos)","17-17 min","4.6","07:45:00","12:00:00","true",
"Uber Eats","2026-05-12T19:35:05.007Z","Oeste - Zapopan","Av. Patria 2085, Puerta de Hierro, Zapopan, Jalisco","Burger King (Andares)","Whopper","Disfruta de un Combo de Whopper con queso con papas y refresco y gratis un Pay de Manzana o 4 Nuggets de Pollo","159","199","-20%","0","Costo de envío: MXN0 (usuarios nuevos)","10-10 min","4.3","10:30:00","22:25:00","true",
"Uber Eats","2026-05-12T19:35:19.163Z","Oeste - Zapopan","Av. Patria 2085, Puerta de Hierro, Zapopan, Jalisco","unknown","Coca-Cola 600 ml","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","Producto no encontrado en getStoreV1: Coca-Cola 600 ml. Local capturado: 7 Eleven 🛒(FERRARI). Ejemplos: Panini · Sobre de estampas FIFA mundial 2026 | Barcel · Chip's fuego papas fritas, chile-limón ardiente (55 g) | Chip's · Papas fritas, jalapeño (170 g) | Sabritas · Kacang cacahuate cubierto frito enchilado flamin' hot (100 g) | Sabritas · Botana de chicharrón de cerdo (115 g) | Modelo · Cerveza lager clara especial (355 ml) | Tecate · Cerveza 0.0% sin alcohol (355 ml) | Sabritas · Chicharrón de cerdo (30 g) | Sabritas · Papas fritas original | Modelo · Cerveza lager especial (473 ml)"
"Uber Eats","2026-05-12T19:36:08.075Z","Oeste - Puerto Vallarta","Av. Francisco Medina Ascencio 2920, Zona Hotelera Norte, Puerto Vallarta, Jalisco","unknown","Big Mac","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para McDonald's"
"Uber Eats","2026-05-12T19:36:41.623Z","Oeste - Puerto Vallarta","Av. Francisco Medina Ascencio 2920, Zona Hotelera Norte, Puerto Vallarta, Jalisco","unknown","Whopper","unknown",,,"unknown",,"unknown","unknown",,"unknown","unknown","false","No pude capturar getStoreV1 para Burger King"
